epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.165,0.71021,2.53706,1.48059,0.74752,0.39443,0.47849,0.34441,0.91573,1.68577,1.60756,0.000302571,0.000302571,0.000302571
2,230.758,0.66695,1.43185,1.44868,0.59352,0.47376,0.52413,0.3786,1.00152,1.35269,1.68124,0.00054562,0.00054562,0.00054562
3,333.92,0.64518,1.18993,1.43373,0.75066,0.49561,0.53487,0.4037,0.92769,1.21176,1.5986,0.000728674,0.000728674,0.000728674
4,436.451,0.61333,1.06354,1.39138,0.70232,0.61398,0.6424,0.50317,0.76111,0.99585,1.3919,0.000639027,0.000639027,0.000639027
5,539.233,0.57372,0.95279,1.35076,0.67243,0.59994,0.63974,0.5115,0.72738,0.95636,1.341,0.000549036,0.000549036,0.000549036
6,641.666,0.52821,0.84601,1.30578,0.63859,0.67907,0.6768,0.55955,0.66067,0.85265,1.27535,0.000459045,0.000459045,0.000459045
7,744.615,0.4875,0.7847,1.2655,0.6456,0.66465,0.68048,0.55154,0.65068,0.82597,1.27449,0.000369054,0.000369054,0.000369054
8,845.292,0.46499,0.71073,1.23623,0.74755,0.6632,0.70339,0.59052,0.5737,0.7999,1.19356,0.000279063,0.000279063,0.000279063
9,944.804,0.42174,0.64246,1.191,0.73807,0.71089,0.72581,0.62405,0.5566,0.70744,1.17077,0.000189072,0.000189072,0.000189072
10,1049.35,0.39629,0.5889,1.16528,0.75728,0.70726,0.74418,0.64181,0.53155,0.68296,1.15573,9.9081e-05,9.9081e-05,9.9081e-05
